core   0: 0x200000ac (0x00080067) jr      a6
core   0: 0x200000e4 (0xa3023857) vsrl.vi v16, v16, 4
core   0: 0x200000e8 (0x010e8a07) vle8ff.v v20, (t4), v0.t
core   0: >>>>  label15
core   0: 0x200000ec (0xc8f37357) vsetivli t1, 6, e16, mf2, tu, ma
core   0: 0x200000f0 (0xfadff86f) jal     a6, pc - 0x54
core   0: >>>>  extra_func2
core   0: 0x2000009c (0x01500693) li      a3, 21
core   0: 0x200000a0 (0x00700293) li      t0, 7
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
